Elu,2014-01-20 (Mairie) – Taluyers,2014-02-24 (Mairie) – Taluyers,2014-04-07 (Mairie) – Taluyers,2014-05-12 (Mairie) – Taluyers,2014-09-08 (Mairie) – Taluyers,2015-02-02 (Mairie) – Taluyers,2015-03-16 (Mairie de Taluyers) – Taluyers,2015-04-27 (Mairie) – Taluyers,2015-06-01 (Mairie) – Taluyers,2015-07-06 (Mairie de Taluyers) – Taluyers,2015-08-31 (Mairie) – Taluyers,2015-09-28 (Mairie) – Taluyers,2015-11-02 (Mairie de Taluyers) – Taluyers,2015-12-14 (Mairie) – Taluyers,2016-01-18 (Mairie) – Taluyers,2016-02-29 (Mairie de Taluyers) – Taluyers,2016-03-21 (Mairie de Taluyers) – Taluyers,2016-07-11 (Mairie) – Taluyers,2016-10-10 (Mairie) – Taluyers,2016-11-07 (Mairie) – Taluyers,2016-12-12 (Mairie) – Taluyers,2017-01-16 (Mairie) – Taluyers,2017-04-13 (Mairie) – Taluyers,2017-05-15 (Mairie) – Taluyers,2017-06-19 (Mairie) – Taluyers,2017-07-10 (Mairie) – Taluyers,2017-09-18 (Mairie de Taluyers) – Taluyers,2017-11-06 (Mairie) – Taluyers,2018-01-22 (Mairie) – Taluyers,2018-03-05 (Mairie) – Taluyers,2018-03-26 (Mairie de Taluyers) – Taluyers,2018-07-02 (Mairie) – Taluyers,2018-11-26 (Mairie) – Taluyers,2019-01-14 (Mairie de Taluyers) – Taluyers,2019-02-11 (Mairie) – Taluyers,2019-03-25 (Mairie) – Taluyers,2019-07-08 (Mairie) – Taluyers,2019-11-25 (Mairie) – Taluyers,2020-01-13 (Mairie) – Taluyers,2020-02-17 (Mairie) – Taluyers,2020-06-08 (Mairie) – Taluyers,2020-07-06 (Mairie de Taluyers) – Taluyers,2020-07-06 (Mairie de Taluyers) – Taluyers,2020-08-31 (Mairie) – Taluyers,2020-10-05 (Mairie) – Taluyers,2020-11-09 (Mairie) – Taluyers,2021-02-22 (Mairie de Taluyers) – Taluyers,2021-03-29 (Mairie) – Taluyers,2021-07-05 (Mairie) – Taluyers,2021-09-06 (Mairie de Taluyers) – Taluyers,2021-11-22 (Mairie) – Taluyers,2022-01-10 (Mairie) – Taluyers,2022-01-10 (Mairie) – Taluyers,2022-01-31 (Mairie) – Taluyers,2022-01-31 (Mairie de Taluyers) – Taluyers,2022-02-28 (Mairie) – Taluyers,2022-03-28 (Mairie) – Taluyers,2022-05-09 (Mairie) – Taluyers,2022-06-13 (Mairie de Taluyers) – Taluyers,2022-06-13 (Mairie) – Taluyers,2022-07-04 (Mairie de Taluyers) – Taluyers,2022-08-29 (Mairie) – Taluyers,2022-08-29 (Mairie de Taluyers) – Taluyers,2022-10-03 (Mairie de Taluyers) – Taluyers,2022-11-28 (Mairie de Taluyers) – Taluyers,2022-11-28 (Mairie) – Taluyers,2023-01-30 (Mairie de Taluyers) – Taluyers,2023-01-30 (Mairie) – Taluyers,2023-02-27 (Mairie) – Taluyers,2024-02-05 (Mairie de Taluyers) – Taluyers,2024-02-05 (Mairie) – Taluyers,2024-03-25 (Mairie) – Taluyers,2024-03-25 (Mairie) – Taluyers,2024-04-29 (Mairie) – Taluyers,2024-04-29 (Mairie) – Taluyers,2024-06-03 (Mairie de Taluyers) – Taluyers,2024-06-03 (Mairie de Taluyers) – Taluyers,2024-07-08 (Mairie) – Taluyers,2024-07-08 (Mairie) – Taluyers,2024-08-30 (Mairie de Taluyers) – Taluyers,2024-08-30 (Mairie) – Taluyers,2024-10-07 (Mairie de Taluyers) – Taluyers,2024-10-07 (Mairie) – Taluyers,2024-11-18 (Mairie de Taluyers) – Taluyers,2024-11-18 (Mairie) – Taluyers,2024-12-16 (Mairie) – Taluyers,2024-12-16 (Mairie) – Taluyers,2025-02-10 (Mairie de Taluyers) – Taluyers,2025-03-31 (Mairie de Taluyers) – Taluyers,2025-05-19 – Taluyers,2025-05-19 (Mairie de Taluyers) – Taluyers,2025-07-07 – Taluyers,2025-07-07 (Mairie de Taluyers) – Taluyers
BERTHOUD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1
BRACHET,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1
CASCHETTA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,1,1,0,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1
CHAIZE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CHAPUT,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CHOLLET,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COURBON,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1
CUBLIER,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,0,0,1,1,0,1,1,1,1,0,0,0,1,1,1,1,0,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,1
DANIEL,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FERRARI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
